time,(G)
54.428571,-2.159597E-1
54.571429,-2.114528E-1
54.714286,-2.126239E-1
54.857143,-2.121465E-1
55.000000,-2.113792E-1
55.142857,-2.167846E-1
55.285714,-2.187836E-1
55.428571,-2.174668E-1
55.571429,-2.184677E-1
55.714286,-2.176529E-1
55.857143,-2.161111E-1
56.000000,-2.149170E-1
56.142857,-2.179831E-1
56.285714,-2.242221E-1
56.428571,-2.213738E-1
56.571429,-2.194960E-1
56.714286,-2.211228E-1
56.857143,-2.165467E-1
57.000000,-2.187533E-1
57.142857,-2.183091E-1
57.285714,-2.166246E-1
57.428571,-2.160650E-1
57.571429,-2.146862E-1
57.714286,-2.206310E-1
57.857143,-2.300847E-1
58.000000,-2.299145E-1
58.142857,-2.443294E-1
58.285714,-2.449640E-1
58.428571,-2.443583E-1
58.571429,-2.477157E-1
58.714286,-2.464610E-1
58.857143,-2.447058E-1
59.000000,-2.481686E-1
59.142857,-2.508698E-1
59.285714,-2.516083E-1
59.428571,-2.502483E-1
59.571429,-2.492286E-1
59.714286,-2.480027E-1
59.857143,-2.470105E-1
60.000000,-2.509218E-1
60.142857,-2.547090E-1
60.285714,-2.478946E-1
60.428571,-2.485291E-1
60.571429,-2.497247E-1
60.714286,-2.487296E-1
60.857143,-2.523092E-1
61.000000,-2.481643E-1
61.142857,-2.480417E-1
61.285714,-2.463802E-1
61.428571,-2.455495E-1
61.571429,-2.459490E-1
61.714286,-2.462778E-1
61.857143,-2.487325E-1
62.000000,-2.460024E-1
62.142857,-2.420897E-1
62.285714,-2.487383E-1
62.428571,-2.551272E-1
62.571429,-2.622157E-1
62.714286,-2.655919E-1
62.857143,-2.694066E-1
63.000000,-2.702834E-1
63.142857,-2.726588E-1
63.285714,-2.778204E-1
63.428571,-2.754754E-1
63.571429,-2.729472E-1
63.714286,-2.751466E-1
63.857143,-2.743259E-1
64.000000,-2.721223E-1
64.142857,-2.753326E-1
64.285714,-2.724871E-1
64.428571,-2.702964E-1
64.571429,-2.710132E-1
64.714286,-2.725650E-1
64.857143,-2.710709E-1
65.000000,-2.754768E-1
65.142857,-2.756888E-1
65.285714,-2.746115E-1
65.428571,-2.742510E-1
65.571429,-2.724583E-1
65.714286,-2.751480E-1
65.857143,-2.795698E-1
66.000000,-2.804726E-1
66.142857,-2.778118E-1
66.285714,-2.800429E-1
66.428571,-2.824225E-1
66.571429,-2.761677E-1
66.714286,-2.750355E-1
66.857143,-2.755259E-1
67.000000,-2.738601E-1
67.142857,-2.740793E-1
67.285714,-2.754610E-1
67.428571,-2.752475E-1
67.571429,-2.772983E-1
67.714286,-2.766248E-1
67.857143,-2.832100E-1
68.000000,-2.903864E-1
68.142857,-2.990325E-1
68.285714,-3.011496E-1
68.428571,-3.010155E-1
68.571429,-2.975340E-1
68.714286,-3.003492E-1
68.857143,-3.027735E-1
69.000000,-3.023337E-1
69.142857,-3.013933E-1
69.285714,-2.994565E-1
69.428571,-2.940914E-1
69.571429,-2.972138E-1
69.714286,-2.986589E-1
69.857143,-2.959649E-1
70.000000,-2.934396E-1
70.142857,-2.961423E-1
70.285714,-2.972268E-1
70.428571,-2.962014E-1
70.571429,-2.977647E-1
70.714286,-2.940972E-1
70.857143,-2.944044E-1
71.000000,-2.974922E-1
71.142857,-2.979176E-1
71.285714,-2.979508E-1
71.428571,-2.998170E-1
71.571429,-2.992127E-1
71.714286,-3.005295E-1
71.857143,-2.964192E-1
72.000000,-2.989344E-1
72.142857,-3.006982E-1
72.285714,-2.985118E-1
72.428571,-2.987873E-1
72.571429,-2.968187E-1
72.714286,-2.958913E-1
72.857143,-2.982609E-1
73.000000,-3.038249E-1
73.142857,-3.123109E-1
73.285714,-3.174639E-1
73.428571,-3.232515E-1
73.571429,-3.242221E-1
73.714286,-3.200945E-1
73.857143,-3.206872E-1
74.000000,-3.181836E-1
74.142857,-3.215410E-1
74.285714,-3.245956E-1
74.428571,-3.189739E-1
74.571429,-3.213896E-1
74.714286,-3.228880E-1
74.857143,-3.221251E-1
75.000000,-3.223544E-1
75.142857,-3.150453E-1
75.285714,-3.141829E-1
75.428571,-3.201075E-1
75.571429,-3.231231E-1
75.714286,-3.236077E-1
75.857143,-3.191945E-1
76.000000,-3.158948E-1
76.142857,-3.166346E-1
76.285714,-3.159712E-1
76.428571,-3.196344E-1
76.571429,-3.166750E-1
76.714286,-3.161212E-1
76.857143,-3.186451E-1
77.000000,-3.192522E-1
77.142857,-3.191196E-1
77.285714,-3.187850E-1
77.428571,-3.225837E-1
77.571429,-3.255893E-1
77.714286,-3.221770E-1
77.857143,-3.213838E-1
78.000000,-3.206944E-1
78.142857,-3.209065E-1
78.285714,-3.263623E-1
78.428571,-3.290910E-1
78.571429,-3.303529E-1
78.714286,-3.335604E-1
78.857143,-3.383586E-1
79.000000,-3.430487E-1
79.142857,-3.415791E-1
79.285714,-3.409589E-1
79.428571,-3.422007E-1
79.571429,-3.430083E-1
79.714286,-3.417421E-1
79.857143,-3.399436E-1
80.000000,-3.391634E-1
80.142857,-3.361131E-1
80.285714,-3.405364E-1
80.428571,-3.407657E-1
80.571429,-3.328133E-1
80.714286,-3.379462E-1
