time	V(v1)	V(v2)
1.991876701783441e-002	0.000000e+000	4.065750e-002
1.998450037497107e-002	0.000000e+000	3.815455e-002
1.998453237497106e-002	0.000000e+000	3.815335e-002
2.000000000000000e-002	0.000000e+000	3.758137e-002
2.000000100000000e-002	5.000000e+000	3.758380e-002
2.003110446426177e-002	5.000000e+000	1.853665e-001
2.006220792852355e-002	5.000000e+000	3.291130e-001
2.009331139278532e-002	5.000000e+000	4.688234e-001
2.012441485704709e-002	5.000000e+000	6.044976e-001
2.015551832130887e-002	5.000000e+000	7.361356e-001
2.018662178557064e-002	5.000000e+000	8.637374e-001
2.021772524983241e-002	5.000000e+000	9.873031e-001
2.027631899983241e-002	5.000000e+000	1.210481e+000
2.036420962483242e-002	5.000000e+000	1.522190e+000
2.045210024983242e-002	5.000000e+000	1.808260e+000
2.054417614268957e-002	5.000000e+000	2.078308e+000
2.063625203554671e-002	5.000000e+000	2.329337e+000
2.072832792840386e-002	5.000000e+000	2.561348e+000
2.082040382126101e-002	5.000000e+000	2.774339e+000
2.091247971411815e-002	5.000000e+000	2.968312e+000
2.100455560697530e-002	5.000000e+000	3.143266e+000
2.109663149983244e-002	5.000000e+000	3.299201e+000
2.118870739268959e-002	5.000000e+000	3.443103e+000
2.128078328554674e-002	5.000000e+000	3.576870e+000
2.137285917840388e-002	5.000000e+000	3.700503e+000
2.146493507126103e-002	5.000000e+000	3.814001e+000
2.155701096411818e-002	5.000000e+000	3.917364e+000
2.164908685697532e-002	5.000000e+000	4.010593e+000
2.174116274983247e-002	5.000000e+000	4.093687e+000
2.183323864268962e-002	5.000000e+000	4.170368e+000
2.192531453554676e-002	5.000000e+000	4.241649e+000
2.201739042840391e-002	5.000000e+000	4.307530e+000
2.210946632126105e-002	5.000000e+000	4.368010e+000
2.220154221411820e-002	5.000000e+000	4.423090e+000
2.229361810697535e-002	5.000000e+000	4.472769e+000
2.238569399983249e-002	5.000000e+000	4.517048e+000
2.247776989268964e-002	5.000000e+000	4.557910e+000
2.256984578554679e-002	5.000000e+000	4.595894e+000
2.266192167840393e-002	5.000000e+000	4.631000e+000
2.275399757126108e-002	5.000000e+000	4.663228e+000
2.284607346411822e-002	5.000000e+000	4.692579e+000
2.293814935697537e-002	5.000000e+000	4.719052e+000
2.303022524983252e-002	5.000000e+000	4.742647e+000
2.312230114268966e-002	5.000000e+000	4.764421e+000
2.321437703554681e-002	5.000000e+000	4.784662e+000
2.330645292840396e-002	5.000000e+000	4.803369e+000
2.339852882126110e-002	5.000000e+000	4.820543e+000
2.349060471411825e-002	5.000000e+000	4.836183e+000
2.358268060697540e-002	5.000000e+000	4.850289e+000
2.367475649983254e-002	5.000000e+000	4.862863e+000
2.376683239268969e-002	5.000000e+000	4.874466e+000
2.385890828554683e-002	5.000000e+000	4.885252e+000
2.395098417840398e-002	5.000000e+000	4.895220e+000
2.404306007126113e-002	5.000000e+000	4.904372e+000
2.413513596411827e-002	5.000000e+000	4.912706e+000
2.422721185697542e-002	5.000000e+000	4.920223e+000
2.431928774983257e-002	5.000000e+000	4.926923e+000
2.441234723199934e-002	5.000000e+000	4.933166e+000
2.450540671416612e-002	5.000000e+000	4.938966e+000
2.459846619633289e-002	5.000000e+000	4.944324e+000
2.469152567849967e-002	5.000000e+000	4.949239e+000
2.478458516066645e-002	5.000000e+000	4.953711e+000
2.487764464283323e-002	5.000000e+000	4.957740e+000
2.497070412500000e-002	5.000000e+000	4.961327e+000
2.500000100000000e-002	5.000000e+000	4.962419e+000
2.500000200000000e-002	0.000000e+000	4.962416e+000
2.509388448211892e-002	0.000000e+000	4.535291e+000
2.518776696423784e-002	0.000000e+000	4.138637e+000
2.528164944635675e-002	0.000000e+000	3.772454e+000
2.537553192847568e-002	0.000000e+000	3.436742e+000
2.546941441059459e-002	0.000000e+000	3.131500e+000
2.556329689271351e-002	0.000000e+000	2.856730e+000
2.565717937483243e-002	0.000000e+000	2.612430e+000
2.574925526768957e-002	0.000000e+000	2.391397e+000
2.584133116054672e-002	0.000000e+000	2.185930e+000
2.593340705340387e-002	0.000000e+000	1.996030e+000
2.602548294626101e-002	0.000000e+000	1.821697e+000
2.611755883911816e-002	0.000000e+000	1.662931e+000
2.620963473197531e-002	0.000000e+000	1.519732e+000
2.630171062483245e-002	0.000000e+000	1.392099e+000
2.639378651768960e-002	0.000000e+000	1.274316e+000
2.648586241054675e-002	0.000000e+000	1.164828e+000
2.657793830340389e-002	0.000000e+000	1.063635e+000
2.667001419626104e-002	0.000000e+000	9.707372e-001
2.676209008911818e-002	0.000000e+000	8.861347e-001
2.685416598197533e-002	0.000000e+000	8.098273e-001
2.694624187483248e-002	0.000000e+000	7.418152e-001
2.703831776768962e-002	0.000000e+000	6.790514e-001
2.713039366054677e-002	0.000000e+000	6.207079e-001
2.722246955340392e-002	0.000000e+000	5.667847e-001
2.731454544626106e-002	0.000000e+000	5.172818e-001
2.740662133911821e-002	0.000000e+000	4.721992e-001
2.749869723197536e-002	0.000000e+000	4.315369e-001
2.759077312483250e-002	0.000000e+000	3.952949e-001
2.768284901768965e-002	0.000000e+000	3.618497e-001
2.777492491054679e-002	0.000000e+000	3.307599e-001
2.786700080340394e-002	0.000000e+000	3.020255e-001
2.795907669626109e-002	0.000000e+000	2.756467e-001
2.805115258911823e-002	0.000000e+000	2.516233e-001
2.814322848197538e-002	0.000000e+000	2.299553e-001
2.823530437483253e-002	0.000000e+000	2.106429e-001
2.832738026768967e-002	0.000000e+000	1.928207e-001
2.841945616054682e-002	0.000000e+000	1.762537e-001
2.851153205340396e-002	0.000000e+000	1.609419e-001
2.860360794626111e-002	0.000000e+000	1.468853e-001
2.869568383911826e-002	0.000000e+000	1.340838e-001
2.878775973197540e-002	0.000000e+000	1.225375e-001
2.887983562483255e-002	0.000000e+000	1.122464e-001
2.897191151768970e-002	0.000000e+000	1.027494e-001
2.906398741054684e-002	0.000000e+000	9.392125e-002
2.915606330340399e-002	0.000000e+000	8.576197e-002
2.924813919626114e-002	0.000000e+000	7.827153e-002
2.934021508911828e-002	0.000000e+000	7.144994e-002
2.943229098197543e-002	0.000000e+000	6.529720e-002
2.952436687483257e-002	0.000000e+000	5.981331e-002
2.959231417842780e-002	0.000000e+000	5.601121e-002
2.966026148202302e-002	0.000000e+000	5.241781e-002
2.972820878561824e-002	0.000000e+000	4.903312e-002
2.979615608921346e-002	0.000000e+000	4.585714e-002
2.986410339280869e-002	0.000000e+000	4.288987e-002
2.993205069640391e-002	0.000000e+000	4.013131e-002
2.999999799999913e-002	0.000000e+000	3.758145e-002
2.999999899999913e-002	0.000000e+000	3.758141e-002
